ridika@gmail.com, Quit, approved
masud@gmail.com, trte, not approved
masud@gmail.com, sdsd, approved
jk@gmail.com, sas, approved
jk@gmail.com, 12345678, not approved
jk@gmail.com, ewe, not approved
jk@gmail.com, jkh, approved
rifikaa@gmail.com, ewe, not approved
rifikaa@gmail.com, fgfh, not approved
rifikaa@gmail.com, , approved
rifikaa@gmail.com, erer, approved
tab@gmail.com, eeee, not approved
tab@gmail.com, , not approved
r@gmail.com, agfagwte, not approved
r@gmail.com, , not approved
r@gmail.com, , not approved
tab@gmail.com, gegg, approved
transport@gmail.com, hey, not approved
